step time drag lift
5800 0.0058 0.578712473656795 -0.00433230864300964
5900 0.0059 0.589379996121607 -0.00123957758018547
6000 0.006 0.579290015196775 0.00078498372622732
6100 0.0061 0.571558783624379 -0.00155551211042991
6200 0.0062 0.57045499899555 -0.00149995047859042
6300 0.0063 0.562094484527788 0.00634044645022331
6400 0.0064 0.561307972379553 0.000236470486774318
6500 0.0065 0.560556212016111 -0.000198251119574951
6600 0.0066 0.565426352244293 0.00288103097500854
6700 0.0067 0.563570070050156 0.00299972920055747
6800 0.0068 0.556112199447893 0.00217716809354331
6900 0.0069 0.542832556227512 -0.00171758282984343
7000 0.007 0.549006174508115 0.00134197499029998
7100 0.0071 0.532589356173429 0.00186822709951654
7200 0.0072 0.531934621962971 0.00329502056654101
7300 0.0073 0.52955702602771 0.000300639216387362
7400 0.0074 0.533551825927052 0.00645283433395345
7500 0.0075 0.523397476228552 -0.00144436833903994
7600 0.0076 0.521266617255274 0.00106307041376616
7700 0.0077 0.522221232634895 -0.00130296508355552
7800 0.0078 0.518461062671414 -0.00132838519396524
7900 0.0079 0.5166961617605 0.00302709046232873
8000 0.008 0.507133717728491 -0.00497841332453797
8100 0.0081 0.494109266712381 0.000806203967249608
8200 0.0082 0.501098454282664 0.00162141657916345
8300 0.0083 0.509052796211264 -0.0024679559299661
8400 0.0084 0.501457152852298 0.00437109643657287
8500 0.0085 0.486418067078911 0.00240749485081841
8600 0.0086 0.484786747954754 -0.00124825976054793
8700 0.0087 0.489695738925127 0.00364737544143819
8800 0.0088 0.497967585958229 -0.00104133793002524
8900 0.0089 0.502033587484055 -0.0061268857105478
9000 0.009 0.504102541490373 0.000140803645175428
9100 0.0091 0.50753712302292 0.000935340167059134
9200 0.0092 0.507700050884216 -0.00095291232987461
9300 0.0093 0.510608146316605 -0.000699225988506305
9400 0.0094 0.521509282951171 -0.00130120811585799
9500 0.0095 0.539068235627614 0.00736405726282959
9600 0.0096 0.55276166475979 -0.00066162808508218
9700 0.0097 0.553860241616834 0.00439782464905782
9800 0.0098 0.567864470755489 4.56298149235524e-05
9900 0.0099 0.585832110815247 -0.0015572959970467
10000 0.01 0.599580392298663 -0.00243296779104408
10100 0.0101 0.604768788429725 0.000114937921448626
10200 0.0102 0.616409128863323 0.00455330726574517
10300 0.0103 0.619926420382512 -0.0055102172118609
10400 0.0104 0.620515034103021 0.00177800305467619
10500 0.0105 0.637162515017228 -0.000809494858106714
10600 0.0106 0.642703025523297 0.00321832743981978
10700 0.0107 0.65109405703796 0.00199193034915648
10800 0.0108 0.642511851319838 -0.00341670208893882
10900 0.0109 0.661778944240996 -0.00204043940626724
11000 0.011 0.654391618992477 0.0037315678066046
11100 0.0111 0.666922125625216 0.00064797282967801
11200 0.0112 0.673323673061263 -0.00552331953768482
11300 0.0113 0.672235821278781 0.00284368160016215
11400 0.0114 0.676633217390937 -0.00505587307348894
11500 0.0115 0.671993910569062 -0.00357106573110407
11600 0.0116 0.676874151447044 0.00239951683518413
11700 0.0117 0.666106767548135 -0.00342784274178848
11800 0.0118 0.676410753977077 0.000980233344748652
11900 0.0119 0.668731614738094 0.00148832131878521
12000 0.012 0.673349339426453 0.00214681521897263
12100 0.0121 0.658075685764824 0.000683667361460995
12200 0.0122 0.669978403132179 0.00288777991510181
12300 0.0123 0.656315259752748 -0.00504661982431152
12400 0.0124 0.657839561074711 -0.000684146609907542
12500 0.0125 0.649176293281055 0.00454528776901913
12600 0.0126 0.655118989944363 -0.00463765246890283
